"ID","species","decimalLatitude","decimalLongitude","DataSource"
1,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
2,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
3,"Chrysocyon brachyurus",-29.8246994018555,-51.1483001708984,"SpeciesLink"
4,"Chrysocyon brachyurus",2.58333333333333,-72.75,"SpeciesLink"
5,"Chrysocyon brachyurus",4.97166666666667,-68.225,"SpeciesLink"
6,"Chrysocyon brachyurus",-21.5833,-47.799999,"SpeciesLink"
7,"Chrysocyon brachyurus",-24.233299,-49.116699,"SpeciesLink"
8,"Chrysocyon brachyurus",-22.2862,-47.699101,"SpeciesLink"
9,"Chrysocyon brachyurus",-23.310955143,-45.6474214642,"SpeciesLink"
10,"Chrysocyon brachyurus",-23.282516915,-45.178482915,"SpeciesLink"
11,"Chrysocyon brachyurus",-23.2232252625,-45.2719599187,"SpeciesLink"
12,"Chrysocyon brachyurus",-22.264,-47.7635,"SpeciesLink"
13,"Chrysocyon brachyurus",-22.4235,-47.764801,"SpeciesLink"
14,"Chrysocyon brachyurus",-22.233,-47.744801,"SpeciesLink"
15,"Chrysocyon brachyurus",-22.2987,-47.844398,"SpeciesLink"
16,"Chrysocyon brachyurus",-22.326901,-47.870998,"SpeciesLink"
17,"Chrysocyon brachyurus",-21.483299,-49.8167,"SpeciesLink"
18,"Chrysocyon brachyurus",-21.5,-49.783299,"SpeciesLink"
19,"Chrysocyon brachyurus",-20.1,-47.349998,"SpeciesLink"
20,"Chrysocyon brachyurus",-20.2167,-47.283299,"SpeciesLink"
21,"Chrysocyon brachyurus",-20.200001,-47.299999,"SpeciesLink"
22,"Chrysocyon brachyurus",-20.133301,-47.666699,"SpeciesLink"
23,"Chrysocyon brachyurus",-20.1,-47.650002,"SpeciesLink"
24,"Chrysocyon brachyurus",-21.383301,-49.383301,"SpeciesLink"
25,"Chrysocyon brachyurus",-21.35,-49.349998,"SpeciesLink"
26,"Chrysocyon brachyurus",-21.3167,-49.3167,"SpeciesLink"
27,"Chrysocyon brachyurus",-21.5333,-49.299999,"SpeciesLink"
28,"Chrysocyon brachyurus",-21.5,-49.283299,"SpeciesLink"
29,"Chrysocyon brachyurus",-20.116699,-47.599998,"SpeciesLink"
30,"Chrysocyon brachyurus",-20.133301,-47.5667,"SpeciesLink"
31,"Chrysocyon brachyurus",-20.5333,-49.200001,"SpeciesLink"
32,"Chrysocyon brachyurus",-22.133301,-48.400002,"SpeciesLink"
33,"Chrysocyon brachyurus",-21.016701,-47.333301,"SpeciesLink"
34,"Chrysocyon brachyurus",-21.049999,-47.400002,"SpeciesLink"
35,"Chrysocyon brachyurus",-22.75,-48.8167,"SpeciesLink"
36,"Chrysocyon brachyurus",-22.5333,-50.200001,"SpeciesLink"
37,"Chrysocyon brachyurus",-22.049999,-48.133301,"SpeciesLink"
38,"Chrysocyon brachyurus",-22.1,-48.016701,"SpeciesLink"
39,"Chrysocyon brachyurus",-22.116699,-48.200001,"SpeciesLink"
40,"Chrysocyon brachyurus",-20.866699,-50.966701,"SpeciesLink"
41,"Chrysocyon brachyurus",-23.2002251166,-45.3663908819,"SpeciesLink"
42,"Chrysocyon brachyurus",-20.983299,-50.833301,"SpeciesLink"
43,"Chrysocyon brachyurus",-20.983299,-51.099998,"SpeciesLink"
44,"Chrysocyon brachyurus",-20.8167,-51.099998,"SpeciesLink"
45,"Chrysocyon brachyurus",-22.6,-49.016701,"SpeciesLink"
46,"Chrysocyon brachyurus",-22.3167,-48.966701,"SpeciesLink"
47,"Chrysocyon brachyurus",-20.4167,-49.216701,"SpeciesLink"
48,"Chrysocyon brachyurus",-23,-46.0667,"SpeciesLink"
49,"Chrysocyon brachyurus",-22.5,-48.916699,"SpeciesLink"
50,"Chrysocyon brachyurus",-22.4667,-48.900002,"SpeciesLink"
51,"Chrysocyon brachyurus",-22.4667,-48.900002,"SpeciesLink"
52,"Chrysocyon brachyurus",-21.6667,-47.900002,"SpeciesLink"
53,"Chrysocyon brachyurus",-21.700001,-47.866699,"SpeciesLink"
54,"Chrysocyon brachyurus",-21.65,-47.916699,"SpeciesLink"
55,"Chrysocyon brachyurus",-22.016701,-48.5667,"SpeciesLink"
56,"Chrysocyon brachyurus",-21.1833,-47.466701,"SpeciesLink"
57,"Chrysocyon brachyurus",-22.65,-48.1833,"SpeciesLink"
58,"Chrysocyon brachyurus",-22.65,-48.116699,"SpeciesLink"
59,"Chrysocyon brachyurus",-21.1833,-47.450001,"SpeciesLink"
60,"Chrysocyon brachyurus",-30.516701,-46.783299,"SpeciesLink"
61,"Chrysocyon brachyurus",-21.6,-46.733299,"SpeciesLink"
62,"Chrysocyon brachyurus",-21.7167,-46.700001,"SpeciesLink"
63,"Chrysocyon brachyurus",-21.5833,-48.5,"SpeciesLink"
64,"Chrysocyon brachyurus",-24.133301,-48.883301,"SpeciesLink"
65,"Chrysocyon brachyurus",-24.233299,-49.200001,"SpeciesLink"
66,"Chrysocyon brachyurus",-23.4,-47.666699,"SpeciesLink"
67,"Chrysocyon brachyurus",-22.25,-48.233299,"SpeciesLink"
68,"Chrysocyon brachyurus",-20.883301,-47.616699,"SpeciesLink"
69,"Chrysocyon brachyurus",-22.9186,-46.541901,"SpeciesLink"
70,"Chrysocyon brachyurus",-20.538601,-47.400799,"SpeciesLink"
71,"Chrysocyon brachyurus",-22.371901,-46.941898,"SpeciesLink"
72,"Chrysocyon brachyurus",-21.996099,-47.4258,"SpeciesLink"
73,"Chrysocyon brachyurus",-23.344612,-48.462766,"SpeciesLink"
74,"Chrysocyon brachyurus",-23.344612,-48.462766,"SpeciesLink"
75,"Chrysocyon brachyurus",-23.2742855016,-45.2410293038,"SpeciesLink"
76,"Chrysocyon brachyurus",-23.1023282925,-45.1820523605,"SpeciesLink"
77,"Chrysocyon brachyurus",-23.2227524941,-45.5470900994,"SpeciesLink"
78,"Chrysocyon brachyurus",-23.2064666314,-45.1942135565,"SpeciesLink"
79,"Chrysocyon brachyurus",-23.2740308716,-45.5677437396,"SpeciesLink"
